"visit_date","utm_source","utm_medium","utm_campaign","total_cost","visitors_count","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,21654.0,103,103,25,1654810
2023-06-01,yandex,cpc,prof-frontend,57138.0,78,78,12,1057000
2023-06-01,yandex,cpc,prof-python,33026.0,62,62,7,613196
2023-06-01,yandex,cpc,base-python,12524.0,31,31,7,476021
2023-06-01,vk,cpc,prof-python,2028.0,72,40,5,355564
2023-06-01,vk,cpc,freemium-frontend,3160.0,80,43,5,338083
2023-06-01,yandex,cpc,prof-java,29490.0,49,49,4,284590
2023-06-01,yandex,cpc,base-frontend,18061.0,40,40,3,268515
2023-06-01,vk,cpc,prof-java,3115.0,51,23,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,10086.0,14,14,2,220264
2023-06-30,admitad,cpa,admitad,,71,2,2,201150
2023-06-01,yandex,cpc,prof-professions-brand,4818.0,13,13,3,154287
2023-06-20,telegram,cpp,base-java,,3,1,1,151192
2023-06-01,yandex,cpc,dod-php,5964.0,4,4,1,150255
2023-06-01,yandex,cpc,base-professions-retarget,151.0,4,4,1,134100
